ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0002047643-24-000001	YES	101	0002047643	Northwind Healthcare Debt Fund II REIT LP	1700 Broadway	25Th Floor	New York	NY	NEW YORK	10019	646-937-6101	DELAWARE							Limited Partnership		withinFiveYears	2023
0000919574-24-007196	YES	101	0001692532	FF Hybrid, LP	FLAT FOOTED LLC	3415 NORTH PINES WAY, SUITE 205	WILSON	WY	WYOMING	83014	917-947-9071	DELAWARE				Flat Footed I LP			Limited Partnership		overFiveYears	
0002047662-24-000001	YES	101	0002047662	Northwind Healthcare Debt Fund II REIT LLC	1700 Broadway	25th Floor	New York	NY	NEW YORK	10019	646-937-6101	DELAWARE							Limited Liability Company		withinFiveYears	2023
0001839195-24-000002	YES	101	0001839195	PARF (BVI) Feeder Ltd.	135 W. 50TH STREET	SUITE 200	NEW YORK	NY	NEW YORK	10020	917-816-7796	VIRGIN ISLANDS, BRITISH							Other	British Virgin Islands Business Company	withinFiveYears	2020
0002047660-24-000001	YES	101	0002047660	Northwind Healthcare Debt Fund II Master REIT LP	1700 Broadway	25th Floor	New York	NY	NEW YORK	10019	646-937-6101	DELAWARE							Limited Partnership		withinFiveYears	2023
0000898432-24-001029	YES	101	0001520675	Emerging Markets Equity Fund, a series of 525 Market Street Fund, LLC	1415 VANTAGE PARK DRIVE, 3RD FLOOR		CHARLOTTE	NC	NORTH CAROLINA	28203	866-259-3305	DELAWARE				Wells Fargo Emerging Markets Equity Fund, a series of Wells Fargo Trust for Institutional Investments	Wells Fargo Emerging Markets Equity Fund		Limited Liability Company		overFiveYears	
0002044673-24-000001	YES	101	0002044673	EMPOWHER CAPITAL LLC	5753 HIGHWAY 85 N	NUM 8097	CRESTVIEW	FL	FLORIDA	32536	360-386-7493	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002049369-24-000003	YES	101	0002049371	Equitybee 22-37188, a Series of Equitybee cFund Master LLC	221 25TH ST		OGDEN	UT	UTAH	84401	6508471149	DELAWARE							Limited Liability Company		withinFiveYears	2024
0000898432-24-001028	YES	101	0001665858	Emerging Markets Equity Advantage Fund, a series of 525 Market Street Fund, LLC	1415 VANTAGE PARK DRIVE, 3RD FLOOR		CHARLOTTE	NC	NORTH CAROLINA	28203	866-259-3305	DELAWARE				Emerging Markets Equity Income Fund, a series of 525 Market Street Fund, LLC			Limited Liability Company		overFiveYears	
0000898432-24-001027	YES	101	0002009943	Closed-End U.S. All Cap Equity Fund, a series of 525 Market Street Fund, LLC	1415 VANTAGE PARK DRIVE, 3RD FLOOR		CHARLOTTE	NC	NORTH CAROLINA	28203	866-259-3305	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002049369-24-000002	YES	101	0002049344	Equitybee 22-69101, a Series of Equitybee cFund Master LLC	221 25TH ST		OGDEN	UT	UTAH	84401	6508471149	DELAWARE							Limited Liability Company		withinFiveYears	2024
0000898432-24-001026	YES	101	0001516931	Closed-End International Equity Fund, a series of 525 Market Street Fund, LLC	1415 VANTAGE PARK DRIVE, 3RD FLOOR		CHARLOTTE	NC	NORTH CAROLINA	28203	866-259-3305	DELAWARE				Wells Fargo Closed-End International Equity Fund, a series of Wells Fargo Trust for Institutional Investments	Wells Fargo Closed-End International Equity Fund		Limited Liability Company		overFiveYears	
0001509302-24-000003	YES	101	0001509302	Victory Bancorp Inc	548 N Lewis Road		Limerick	PA	PENNSYLVANIA	19468	484-941-3869	PENNSYLVANIA							Corporation		overFiveYears	
0001860411-24-000004	YES	101	0001860411	CRYPTOCACHE PARTNERS, L.P.	2020 CALAMOS CT SUITE 200		NAPERVILLE	IL	ILLINOIS	60563	6205771470	DELAWARE							Limited Partnership		withinFiveYears	2021
0001993887-24-000002	YES	101	0001993887	UNITY GROWTH SERIES FUND LLC - FUND 002	12001 Sunrise Valley dr		Reston	VA	VIRGINIA	20191	7323253482	DELAWARE							Limited Liability Company		withinFiveYears	2023
0001062993-24-020886	YES	101	0001773843	Falkbuilt Ltd.	UNIT 2, 4100 - 106 AVENUE SE		CALGARY	A0	ALBERTA, CANADA	T2C 5B6	(587) 899-9148	ALBERTA, CANADA	2151934 Alberta Ltd.						Corporation		overFiveYears	
0002049369-24-000001	YES	101	0002049369	Equitybee 22-49263, a Series of Equitybee cFund Master LLC	221 25TH ST		OGDEN	X1	UNITED STATES	84401	6508471149	DELAWARE							Limited Liability Company		withinFiveYears	2024
0000898432-24-001025	YES	101	0001516932	Closed-End Bond Fund, a series of 525 Market Street Fund, LLC	1415 VANTAGE PARK DRIVE, 3RD FLOOR		CHARLOTTE	NC	NORTH CAROLINA	28203	866-259-3305	DELAWARE				Wells Fargo Closed-End Bond Fund Trust, a series of Wells Fargo Trust for Institutional Investments	Wells Fargo Closed-End Bond Fund Trust		Limited Liability Company		overFiveYears	
0001736422-24-000003	YES	101	0001736422	Harmonic Investors LLC Navigator Fund	8889 PELICAN BAY BOULEVARD, SUITE 500		NAPLES	FL	FLORIDA	34108	2392542500	DELAWARE	Harmonic Investors LLC Explorer Fund I						Limited Liability Company		overFiveYears	
0001273340-24-000001	YES	101	0001273340	AZG TANGIBLE ASSETS FUND LLC	c/o AZG CAPITAL CORP.	10 ELMHURST AVENUE	STATEN ISLAND	NY	NEW YORK	10301	718-477-6464	DELAWARE							Limited Liability Company		overFiveYears	
0002012812-24-000002	YES	101	0002012812	OLYMPUS GROWTH FUND VIII, L.P.	METRO CENTER, 4TH FLOOR	ONE STATION PLACE	STAMFORD	CT	CONNECTICUT	06902	(203) 353-5900	DELAWARE							Limited Partnership		withinFiveYears	2023
0002012819-24-000002	YES	101	0002012819	OLYMPUS GROWTH FUND VIII PARALLEL, L.P.	METRO CENTER, 4TH FLOOR	ONE STATION PLACE	STAMFORD	CT	CONNECTICUT	06902	(203) 353-5900	DELAWARE							Limited Partnership		withinFiveYears	2023
0000898432-24-001024	YES	101	0001667440	All Country World Low Volatility Equity Fund LP	1415 VANTAGE PARK DRIVE, 3RD FLOOR		CHARLOTTE	NC	NORTH CAROLINA	28203	866-259-3305	DELAWARE				Analytic All Country World Low Volatility Equity Fund LP			Limited Partnership		overFiveYears	
0002027846-24-000001	YES	101	0002027846	Illini Angels LLC- Series 8569	1 East Liberty, Suite 600		RENO	NV	NEVADA	89501	8332776735	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002042352-24-000005	YES	101	0002042352	Pantheon Institutional Drilling Fund, Limited Partnership	5342 CLARK RD	#1075	SARASOTA	FL	FLORIDA	34233	7033894345	WYOMING							Limited Partnership		withinFiveYears	2024
0001709493-24-000001	YES	101	0001709493	Aatru Medical LLC	1301 E. 9TH STREET	27TH FLOOR	CLEVELAND	OH	OHIO	44114	(216) 303-6063	DELAWARE	Aatru Medical, Inc.						Limited Liability Company		overFiveYears	
0002042352-24-000004	YES	101	0002042352	Pantheon Institutional Drilling Fund, Limited Partnership	5342 CLARK RD	#1075	SARASOTA	FL	FLORIDA	34233	7033894345	WYOMING							Limited Partnership		withinFiveYears	2024
0001062993-24-020883	YES	101	0001773843	Falkbuilt Ltd.	UNIT 2, 4100 - 106 AVENUE SE		CALGARY	A0	ALBERTA, CANADA	T2C5B6	5878999148	ALBERTA, CANADA	2151934 Alberta Ltd.						Corporation		overFiveYears	
0001014585-24-000002	YES	101	0001124574	GREEN TURTLE PARTNERS L P	639 LOYOLA AVENUE, SUITE 2775		NEW ORLEANS	LA	LOUISIANA	70113	504-525-3767	DELAWARE							Limited Partnership		overFiveYears	
0002005052-24-000001	YES	101	0002005052	JST Capital Fund LP	C/O JST CAPITAL GP LLC	1295 BROADWAY, SUITE 8	HEWLETT	NY	NEW YORK	11557	(516) 941-8504	DELAWARE							Limited Partnership		withinFiveYears	2023
0002048580-24-000003	YES	101	0002048580	DB Clementine Co-Invest I, LP	750 PARK OF COMMERCE DRIVE	SUITE 210	BOCA RATON	FL	FLORIDA	33487	561-544-7448	DELAWARE							Limited Partnership		withinFiveYears	2024
0002046580-24-000002	YES	101	0002046580	502 Warehouse LLC	120 S FEDERAL PL	UNIT 9017	SANTA FE	NM	NEW MEXICO	87501	9707490282	NEW MEXICO							Limited Liability Company		withinFiveYears	2024
0002047226-24-000001	YES	101	0002047226	Actis Energy 6 A SCSp	15 BOULEVARD F.W. RAIFFEISEN		GRAND DUCHY OF LUXEMBOURG	N4	LUXEMBOURG	L-2411	44 0207 234 5109	LUXEMBOURG							Limited Partnership		withinFiveYears	2024
0002048580-24-000002	YES	101	0002048589	DB Clementine Co-Invest II, LP	750 PARK OF COMMERCE DRIVE	SUITE 210	BOCA RATON	FL	FLORIDA	33487	561-544-7448	DELAWARE							Limited Partnership		withinFiveYears	2024
0000919574-24-007194	YES	101	0002005765	Deepwater Venture Fund II, L.P.	21 N. THIRD STREET	#250	MINNEAPOLIS	MN	MINNESOTA	55401	612-865-0578	DELAWARE							Limited Partnership		withinFiveYears	2023
0002048773-24-000003	YES	101	0002048773	Intercept Aggregator L.P.	TWO CENTER PLAZA, SUITE 500		BOSTON	MA	MASSACHUSETTS	02108	(617) 399-8100	DELAWARE							Limited Partnership		withinFiveYears	2024
0000919574-24-007192	YES	101	0002005048	Deepwater SPV I LP	21 N. THIRD STREET	#250	MINNEAPOLIS	MN	MINNESOTA	55401	612-865-0578	DELAWARE							Limited Partnership		withinFiveYears	2022
0002047244-24-000001	YES	101	0002047244	Actis Energy 6 SCSp	15 BOULEVARD F.W. RAIFFEISEN		GRAND DUCHY OF LUXEMBOURG	N4	LUXEMBOURG	L-2411	44 0207 234 5109	LUXEMBOURG							Limited Partnership		withinFiveYears	2024
0002047120-24-000001	YES	101	0002047120	Trinity 5 Pack Recap Investors LLC	2102 E STATE HWY 114	SUITE 300	SOUTHLAKE	TX	TEXAS	76092	8173102901	TEXAS							Limited Liability Company		withinFiveYears	2024
0002049192-24-000001	YES	101	0002049192	Sprout Labs, Inc.	163 HIGHLAND AVENUE	#1067	NEEDHAM	MA	MASSACHUSETTS	02494	833-759-2473	DELAWARE	EarlyBird Education, Inc.						Corporation		overFiveYears	
0002026658-24-000001	YES	101	0002026658	PEGASUS ANGEL ACCELERATOR FUND I A SERIES OF PEGASUS ANGEL ACCELERATOR FUND LLC	1316 3RD STREET PROMENADE #107		SANTA MONICA	CA	CALIFORNIA	90401	310-779-0260	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002029919-24-000004	YES	101	0002029919	Harmonic Investors LLC Equity Income Plus	8889 PELICAN BAY BLVD., SUITE 500		NAPLES	FL	FLORIDA	34109	239-254-2500	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002025398-24-000002	YES	101	0002025398	Holiday Cove Equity Partners LLC	C/O HOLIDAY COVE MGMT LLC	529 E CROWN POINT STE 230	OCOEE	FL	FLORIDA	34761	949-296-7502	GEORGIA							Limited Liability Company		withinFiveYears	2024
0001012975-24-000532	YES	101	0002046684	DB EMEA Co-Invest, SCSp	6B, RUE DU FORT NIEDERGRUNEWALD		LUXEMBOURG	N4	LUXEMBOURG	L-2226	561-544-7448	LUXEMBOURG							Limited Partnership		withinFiveYears	2024
0002044138-24-000002	YES	101	0002044138	Gaingels H2024 LLC	C/O GAINGELS MANAGEMENT LLC	3 MAIN STREET - SUITE 214	BURLINGTON	VT	VERMONT	05401	773 837 1889	VERMONT				Gaingels Hermeus LLC			Limited Liability Company		withinFiveYears	2024
0001841405-24-000002	YES	101	0001841405	UptimeAI Inc.	310 CHILENSE CT.		SAN RAMON	CA	CALIFORNIA	94582	650-843-0988	DELAWARE							Corporation		withinFiveYears	2019
0001014585-24-000001	YES	101	0001014585	COVINGTON PARTNERS L P	639 LOYOLA AVENUE	SUITE 2775	NEW ORLEANS	LA	LOUISIANA	70113	504-525-3767	DELAWARE							Limited Partnership		overFiveYears	
0002018684-24-000027	YES	101	0002018684	INSTITUTIONAL DRILLING FUND I LP	1521 NORTH COOPER STREET	SUITE 400	ARLINGTON	TX	TEXAS	76011	16823052868	DELAWARE				USEDC 2024 Auxiliary Fund LP			Limited Partnership		withinFiveYears	2022
0002044985-24-000001	YES	101	0002044985	SCC DEV 2024B, LLC	10558 HWY 62, STE B-1 #3		EAGLE POINT	OR	OREGON	97524	404-510-2118	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002048619-24-000001	YES	101	0002048619	ATW GROWTH OPPORTUNITIES SPV LLC	1 PENNSYLVANIA PLAZA	48TH FLOOR	NEW YORK	NY	NEW YORK	10119	646-975-5548	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002048328-24-000001	YES	101	0002048328	SGV31, a series of SGV I, LLC	13282 OCEAN VISTA ROAD		SAN DIEGO	CA	CALIFORNIA	92130	8584051756	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002018562-24-000030	YES	101	0002018562	USEDC 2024 B Drilling Fund LP	1521 NORTH COOPER STREET	SUITE 400	ARLINGTON	TX	TEXAS	76011	16823052868	DELAWARE							Limited Partnership		withinFiveYears	2023
0002047712-24-000001	YES	101	0002047712	TDR Community Fund I, LLC	10006 N DALE MABRY HWY	SUITE #211	TAMPA	FL	FLORIDA	33618	4048284389	FLORIDA							Limited Liability Company		withinFiveYears	2024
0002018684-24-000026	YES	101	0002018684	INSTITUTIONAL DRILLING FUND I LP	1521 NORTH COOPER STREET	SUITE 400	ARLINGTON	TX	TEXAS	76011	16823052868	DELAWARE				USEDC 2024 Auxiliary Fund LP			Limited Partnership		withinFiveYears	2022
0001942721-24-000001	YES	101	0001942721	CROWN EUROPEAN MARKETS V FEEDER S.A. SICAV RAIF	60, AVENUE J.F.KENNEDY		LUXEMBOURG	N4	LUXEMBOURG	L-1855	011 353 1 433 7420	LUXEMBOURG							Other	Public Limited Company under RAIF Law	withinFiveYears	2022
0002047066-24-000002	YES	101	0002047075	Series 30-1, a series of StartEngine Private LLC	4100 W ALAMEDA AVE, SUITE 300		BURBANK	CA	CALIFORNIA	91505	516-382-3479	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002042974-24-000001	YES	101	0002042974	LGP Executive Associates I-C LLC	11111 SANTA MONICA BOULEVARD	SUITE 2000	LOS ANGELES	CA	CALIFORNIA	90025	(310) 954-0444	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002048496-24-000002	YES	101	0002048496	Mutual Trust Management Advisors LP	6 PARKLANE BOULEVARD	SUITE 545	DEARBORN	MI	MICHIGAN	48126	805-701-8611	MICHIGAN				Mututal Trust Management Advisors LP			Limited Partnership		withinFiveYears	2024
0002047066-24-000001	YES	101	0002047066	Series 31-1, a series of StartEngine Private LLC	4100 W ALAMEDA AVE, SUITE 300		BURBANK	CA	CALIFORNIA	91505	516-382-3479	DELAWARE							Limited Liability Company		withinFiveYears	2024
0000945621-24-001024	YES	101	0002048931	GQG Private Capital Solutions Fund (US), LP	909 A STREET	SUITE 810	TACOMA	WA	WASHINGTON	98402	754.218.5500	DELAWARE							Limited Partnership		withinFiveYears	2024
0000945621-24-001023	YES	101	0002048649	GQG Private Capital Solutions Fund (Cayman), LP	909 A STREET	SUITE 810	TACOMA	WA	WASHINGTON	98402	754.218.5500	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2024
0000945621-24-001022	YES	101	0002048647	GQG Private Capital Solutions Master Fund (US) I, LP	909 A STREET	SUITE 810	TACOMA	WA	WASHINGTON	98402	754.218.5500	DELAWARE							Limited Partnership		withinFiveYears	2024
0000945621-24-001021	YES	101	0002048932	GQG Private Capital Solutions Fund Intermediary (US) I, LLC	909 A STREET	SUITE 810	TACOMA	WA	WASHINGTON	98402	754.218.5500	DELAWARE							Limited Liability Company		withinFiveYears	2024
0000945621-24-001020	YES	101	0002048084	Fund IV, a Sub-Fund of Makers Fund VCC	63 ROBINSON ROAD	#08-00 AFRO ASIA	SINGAPORE	U0	SINGAPORE	068894	65 69952480	SINGAPORE							Other	Sub-Fund of a variable capital company	withinFiveYears	2024
0001878646-24-000033	YES	101	0002048362	AE Ventures Fund III, LP	6700 BROKEN SOUND PARKWAY NW		BOCA RATON	FL	FLORIDA	33487	(561) 372-7820	DELAWARE							Limited Partnership		withinFiveYears	2024
0002049235-24-000002	YES	101	0002049235	VO-0223 Fund I, a series of Roll Up Vehicles, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002027210-24-000002	YES	101	0002027210	IN-0612 Fund I, a series of Exitfund Venture, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002018888-24-000002	YES	101	0002018888	CO-03011 Fund I, a series of Roll Up Vehicles, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0001740549-24-000001	YES	101	0001740549	CourtScribes, Inc.	2 Creek Park Drive		Portola Valley	CA	CALIFORNIA	94028	415-937-2900	DELAWARE							Corporation		overFiveYears	
0001898567-24-000003	YES	101	0001898567	FOURSQUARE FINANCIAL SOLUTIONS LOAN FUND, INC.	3901 FOOTHILL BLVD., SUITE 200		LA CRESCENTA	CA	CALIFORNIA	91214	(855) 547-6948	CALIFORNIA							Other	NON-PROFIT CORPORATION	overFiveYears	
0001683168-24-008823	YES	101	0002048655	Hawlins Owner LLC	2012 GLENCOE AVENUE		VENICE	CA	CALIFORNIA	90291	(949) 584-9194	DELAWARE							Limited Liability Company		withinFiveYears	2024
0001533589-24-000001	YES	101	0001977463	Hoofprint Biome, Inc.	840 OVAL DRIVE		RALEIGH	NC	NORTH CAROLINA	27606	847-714-4336	DELAWARE							Corporation		withinFiveYears	2023
0001953956-24-000001	YES	101	0001953956	500 GEORGIA, L.P.	3478 BUSKIRK AVENUE, SUITE 1000		PLEASANT HILL	CA	CALIFORNIA	94523	8886802293	DELAWARE							Limited Partnership		withinFiveYears	2022
0002045909-24-000001	YES	101	0002045909	51Quid Digital Asset Fund, LP	4605 POST OAK PLACE DR.	SUITE 202	HOUSTON	TX	TEXAS	77027	713-561-3777	DELAWARE							Limited Partnership		withinFiveYears	2023
0002049177-24-000001	YES	101	0002049177	DAVR Inc.	638 CAMINO DE LAS MARES, 143		SAN CLEMENTE	CA	CALIFORNIA	92673	9494221158	CALIFORNIA							Corporation		withinFiveYears	2024
0002049309-24-000001	YES	101	0002049309	Ashley Prospect Partners	111 IMPERIAL BLVD	BUILDING D400	HENDERSONVILLE	TN	TENNESSEE	37075	6155900909	TENNESSEE							General Partnership		yetToBeFormed	
0002047385-24-000002	YES	101	0002047385	Shopoff Buena Park Entitlement Fund, LP	18565 JAMBOREE ROAD, STE. 200		IRVINE	CA	CALIFORNIA	92612	9494171396	DELAWARE							Limited Partnership		withinFiveYears	2024
0001957227-24-000001	YES	101	0001957227	500 MENA, L.P.	3478 BUSKIRK AVENUE, SUITE 1000		PLEASANT HILL	CA	CALIFORNIA	94523	8886802293	DELAWARE							Limited Partnership		withinFiveYears	2022
0001781855-24-000003	YES	101	0001763022	Vestia Ventures MiRus Investment LLC	9121 ILLINOIS ROAD, SUITE 51		FORT WAYNE	IN	INDIANA	46804	2604102330	INDIANA							Limited Liability Company		overFiveYears	
0002048569-24-000002	YES	101	0002048569	Krohn Consortium X, LLC	1201 N 800 E		OREM	UT	UTAH	84097	8014210290	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002049025-24-000001	YES	101	0002049025	Ideal Investors 6 LLC	3128 WILLOW AVENUE	SUITE 101	CLOVIS	CA	CALIFORNIA	93612	559-347-6980	CALIFORNIA							Limited Liability Company		withinFiveYears	2024
0001658033-24-000001	YES	101	0001658033	Oakhurst Real Estate Fund III, LP	301 N. Lake Avenue	SUITE 310	PASADENA	CA	CALIFORNIA	91101	(626) 469-8646	DELAWARE				S&R Real Estate Fund III, LP			Limited Partnership		overFiveYears	
0001781855-24-000002	YES	101	0001781855	Vestia MiRus QP Investment, LLC	9121 ILLINOIS ROAD	STE. 51	FORT WAYNE	IN	INDIANA	46804	260-410-2330	INDIANA							Limited Liability Company		overFiveYears	
0002049263-24-000001	YES	101	0002049263	Strata Holdings LLC	5150 W 120TH AVE	UNIT 100	WESTMINSTER	CO	COLORADO	80020	17202392177	COLORADO							Limited Liability Company		withinFiveYears	2024
0002049299-24-000001	YES	101	0002049299	Golf App, Inc.	6625 WYMAN LANE		CINCINNATI	OH	OHIO	45243	513-706-6202	OHIO							Corporation		withinFiveYears	2021
0001995672-24-000001	YES	101	0001995672	Linzor Capital Partners IV, L.P.	AV. BICENTENARIO 3883, PISO 5, CP 763065	VITACURA	SANTIAGO	F3	CHILE	-	56 5552926448	ONTARIO, CANADA							Limited Partnership		withinFiveYears	2023
0001685391-24-000001	YES	101	0001685391	Oakhurst Income Fund I, LP	301 N. Lake Avenue	SUITE 310	PASADENA	CA	CALIFORNIA	91101	(626) 469-8646	DELAWARE				S&R Income Fund I, LP			Limited Partnership		overFiveYears	
0001703231-24-000001	YES	101	0001703231	S&R Real Estate Fund XI, LP	301 N. Lake Avenue	SUITE 310	PASADENA	CA	CALIFORNIA	91101	6264698646	DELAWARE							Limited Partnership		overFiveYears	
0002049085-24-000002	YES	101	0002049085	Stonepeak Digital Edge (Co-Invest) Holdings V LP	55 HUDSON YARDS	550 WEST 34TH STREET, 48TH FLOOR	NEW YORK	NY	NEW YORK	10001	212-907-5100	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2024
0002048851-24-000005	YES	101	0002048851	JRNYS Wellness, Inc.	515 CONGRESS AVENUE	SUITE 1515	AUSTIN	TX	TEXAS	78701	5124153960	DELAWARE							Corporation		withinFiveYears	2024
0001104659-24-129847	YES	101	0001960167	Northstar Mezzanine Partners VIII L.P.	45 SOUTH 7TH STREET	SUITE 2310	MINNEAPOLIS	MN	MINNESOTA	55402	(612) 371 5719	DELAWARE							Limited Partnership		withinFiveYears	2022
0002049220-24-000001	YES	101	0002049220	Edge Hill Investors, LLC	128-A COURTHOUSE SQUARE		OXFORD	MS	MISSISSIPPI	38655	6623714124	MISSISSIPPI							Limited Liability Company		withinFiveYears	2023
0002041496-24-000001	YES	101	0002041496	Pad Climbing, Inc	PO 6906 N FLORIDA AVE	#359	HOLDER	FL	FLORIDA	34445	8057481478	CALIFORNIA							Corporation		overFiveYears	
0002046521-24-000002	YES	101	0002046521	Sociability Ventures Ltd	THE FISHERIES	1 MENTMORE TERRACE	LONDON	X0	UNITED KINGDOM	E8 3PN	00447491868418	UNITED KINGDOM							Corporation		overFiveYears	
0002049146-24-000001	YES	101	0002049146	Stonepeak Digital Edge (Co-Invest) Holdings IV LP	55 HUDSON YARDS	550 WEST 34TH STREET, 48TH FLOOR	NEW YORK	NY	NEW YORK	10001	212-907-5100	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2024
0002045188-24-000001	YES	101	0002045188	GVP Climate Series SPV LP - Series 2	430 Park Avenue		New York	NY	NEW YORK	10022	(646) 222-7560	DELAWARE							Limited Partnership		withinFiveYears	2024
0001964238-24-000005	YES	101	0001964238	AREC Debt Fund, LP	770 TAMALPAIS DRIVE	SUITE 401B	CORTE MADERA	CA	CALIFORNIA	94925	4155610600	DELAWARE				AREC HIGHMORE REAL ESTATE INCOME FUND, LP			Limited Partnership		withinFiveYears	2021
0002049232-24-000001	YES	101	0002049232	Audax Direct Lending Solutions Fund III B-1, L.P.	101 HUNTINGTON AVENUE		BOSTON	MA	MASSACHUSETTS	02199	617-859-1500	DELAWARE							Limited Partnership		withinFiveYears	2024
0002046521-24-000001	YES	101	0002046521	Sociability Ventures Ltd	THE FISHERIES	1 MENTMORE TERRACE	LONDON	X0	UNITED KINGDOM	E8 3PN	00447491868418	UNITED KINGDOM							Corporation		overFiveYears	
0002049164-24-000001	YES	101	0002049164	Audax Direct Lending Solutions Fund III-B Feeder, LLC	101 HUNTINGTON AVENUE		BOSTON	MA	MASSACHUSETTS	02199	617-859-1500	CAYMAN ISLANDS							Other	CAYMAN ISLANDS LIMITED LIABILITY COMPANY	withinFiveYears	2024
0001437749-24-037881	YES	101	0002012676	Roers Naples Apartments I LLC	Two Carlson Parkway	Suite 400	Plymouth	MN	MINNESOTA	55447	763-285-8808	DELAWARE							Limited Liability Company		withinFiveYears	2023
0002045609-24-000001	YES	101	0002045609	Pathway Private Equity Fund Investors 12 (Cayman), LP	UGLAND HOUSE	SOUTH CHURCH STREET	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1104	345-949-8066	CAYMAN ISLANDS							Other	Exempted Limited Partnership	withinFiveYears	2024
0001104659-24-129813	YES	101	0001977189	FiberX Inc.	7150 INDIANAPOLIS BOULEVARD		HAMMOND	IN	INDIANA	46324	626-893-4817	DELAWARE							Corporation		withinFiveYears	2022
0001896088-24-000002	YES	101	0001896088	College Sports Company, Inc.	169 MADISON AVE., SUITE 15027		NEW YORK	NY	NEW YORK	10016	978-500-1531	DELAWARE				Mercury Fan, Inc.			Corporation		withinFiveYears	2021
0000919574-24-007187	YES	101	0002049288	Adapt Capital Operations Flagship Fund, LP	411 PARK AVENUE SOUTH	APT 3A	NEW YORK	NY	NEW YORK	10016	518-878-6164	DELAWARE							Limited Partnership		withinFiveYears	2024
0002047097-24-000001	YES	101	0002047097	Weyerhaeuser Forest Holdings, Inc.	220 OCCIDENTAL AVENUE SOUTH		SEATTLE	WA	WASHINGTON	98104	206-539-3000	DELAWARE							Corporation		withinFiveYears	2023
0001812432-24-000002	YES	101	0001812432	CONTI Strategic Value Fund LP	5930 ROYAL LANE	SUITE 204	DALLAS	TX	TEXAS	75230-3896	(972) 331-6881	TEXAS							Limited Partnership		withinFiveYears	2020
0002048045-24-000001	YES	101	0002048045	VEEF III CO-INVEST 1-A, L.P.	C/O VISTA EQUITY PARTNERS	4 EMBARCADERO CENTER, 20TH FLOOR	SAN FRANCISCO	CA	CALIFORNIA	94111	(415) 765-6500	DELAWARE							Limited Partnership		withinFiveYears	2024
0002044976-24-000002	YES	101	0002044976	Lerer Hippeau IX, LP	555 GREENWICH STREET, 11TH FLOOR		NEW YORK	NY	NEW YORK	10014	(646) 237-4837	DELAWARE							Limited Partnership		withinFiveYears	2024
0001493152-24-050636	YES	101	0001647822	Jingbo Technology, Inc.	BUILDING B8, CHINA ZHIGU, YINHU STREET	FUYANG DISTRICT	HANGZHOU ZHEJIANG	F4	CHINA	310000	+86 57187197085	NEVADA	SavMobi Technology Inc			SavMobi Technology Inc.			Corporation		overFiveYears	
0002049115-24-000002	YES	101	0002049115	SM Fountainhead Tower Office Building, Ltd	9300 RESEARCH BLVD	STE 250	AUSTIN	TX	TEXAS	78759	512-470-1129	TEXAS							Limited Partnership		withinFiveYears	2024
0002005254-24-000001	YES	101	0002005254	SAFFA Fund I, LP	29 RIVER ROAD, SUITE 102		COS COB	CT	CONNECTICUT	06807	203-862-4800	DELAWARE							Limited Partnership		withinFiveYears	2023
0001954925-24-000006	YES	101	0001954925	P/E Capital DAO LLC	680 S CACHE STREET	SUITE 100-7414	JACKSON	WY	WYOMING	83001	888-929-2825	WYOMING							Limited Liability Company		withinFiveYears	2022
